Token,InfluenceScore,RecallScore,Category,Type,OnScreenRender
beauty831,0.7162,0.9968,High Recall,Tagged Variant,"Displays as: ""beauty831"""
actually_8689,0.788,0.3158,Peripheral,Tagged Variant,"Displays as: ""actually_8689"""
benefit_7170,0.9561,0.379,High Influence,Tagged Variant,"Displays as: ""benefit_7170"""
box434,0.8831,0.7266,High Influence,Tagged Variant,"Displays as: ""box434"""
above181,0.6249,0.8744,High Recall,Tagged Variant,"Displays as: ""above181"""
actually_1612,0.6589,0.4997,Peripheral,Tagged Variant,"Displays as: ""actually_1612"""
agree_1646,0.6031,0.4674,Peripheral,Tagged Variant,"Displays as: ""agree_1646"""
accident_9015,0.8524,0.8509,High Influence,Tagged Variant,"Displays as: ""accident_9015"""
always693,0.7791,0.3395,Peripheral,Tagged Variant,"Displays as: ""always693"""
busy627,0.6537,0.5586,Peripheral,Tagged Variant,"Displays as: ""busy627"""
admit_9146,0.9832,0.6541,High Influence,Tagged Variant,"Displays as: ""admit_9146"""
best_5670,0.8119,0.6922,High Influence,Tagged Variant,"Displays as: ""best_5670"""
away_6860,0.6968,0.81,High Recall,Tagged Variant,"Displays as: ""away_6860"""
boy_3552,0.8002,0.5484,High Influence,Tagged Variant,"Displays as: ""boy_3552"""
ability595,0.8718,0.7289,High Influence,Tagged Variant,"Displays as: ""ability595"""
accident561,0.6305,0.7098,Peripheral,Tagged Variant,"Displays as: ""accident561"""
campaign_3293,0.7099,0.6833,Peripheral,Tagged Variant,"Displays as: ""campaign_3293"""
car_8441,0.9228,0.7483,High Influence,Tagged Variant,"Displays as: ""car_8441"""
actual_8633,0.7839,0.4816,Peripheral,Tagged Variant,"Displays as: ""actual_8633"""
block450,0.8186,0.3593,High Influence,Tagged Variant,"Displays as: ""block450"""
buy_8006,0.7731,0.3835,Peripheral,Tagged Variant,"Displays as: ""buy_8006"""
awesome_2811,0.6176,0.4572,Peripheral,Tagged Variant,"Displays as: ""awesome_2811"""
amount_8186,0.6663,0.6501,Peripheral,Tagged Variant,"Displays as: ""amount_8186"""
business426,0.7782,0.8883,High Recall,Tagged Variant,"Displays as: ""business426"""
blue555,0.6837,0.7909,Peripheral,Tagged Variant,"Displays as: ""blue555"""
agency_7567,0.62,0.8523,High Recall,Tagged Variant,"Displays as: ""agency_7567"""
beyond_1854,0.9375,0.5457,High Influence,Tagged Variant,"Displays as: ""beyond_1854"""
block_4759,0.9925,0.5833,High Influence,Tagged Variant,"Displays as: ""block_4759"""
about311,0.9173,0.5756,High Influence,Tagged Variant,"Displays as: ""about311"""
basic296,0.9415,0.4343,High Influence,Tagged Variant,"Displays as: ""basic296"""
agency_8696,0.6968,0.3429,Peripheral,Tagged Variant,"Displays as: ""agency_8696"""
believe19,0.9843,0.7136,High Influence,Tagged Variant,"Displays as: ""believe19"""
box457,0.6788,0.9925,High Recall,Tagged Variant,"Displays as: ""box457"""
before905,0.9806,0.4168,High Influence,Tagged Variant,"Displays as: ""before905"""
button_9398,0.9979,0.3327,High Influence,Tagged Variant,"Displays as: ""button_9398"""
bring248,0.8847,0.8457,High Influence,Tagged Variant,"Displays as: ""bring248"""
and599,0.9925,0.4768,High Influence,Tagged Variant,"Displays as: ""and599"""
attack_2862,0.8278,0.8808,High Influence,Tagged Variant,"Displays as: ""attack_2862"""
black146,0.7038,0.7928,Peripheral,Tagged Variant,"Displays as: ""black146"""
around414,0.7748,0.962,High Recall,Tagged Variant,"Displays as: ""around414"""
address941,0.8374,0.5862,High Influence,Tagged Variant,"Displays as: ""address941"""
answer_3754,0.6292,0.7634,Peripheral,Tagged Variant,"Displays as: ""answer_3754"""
already_4049,0.8489,0.6254,High Influence,Tagged Variant,"Displays as: ""already_4049"""
binary856,0.9925,0.7414,High Influence,Tagged Variant,"Displays as: ""binary856"""
build_6566,0.676,0.6147,Peripheral,Tagged Variant,"Displays as: ""build_6566"""
across228,0.917,0.432,High Influence,Tagged Variant,"Displays as: ""across228"""
actual_5223,0.9632,0.6555,High Influence,Tagged Variant,"Displays as: ""actual_5223"""
allow856,0.9775,0.67,High Influence,Tagged Variant,"Displays as: ""allow856"""
agree432,0.9841,0.8674,Core Anchor,Tagged Variant,"Displays as: ""agree432"""
basic835,0.8086,0.8149,High Influence,Tagged Variant,"Displays as: ""basic835"""
against952,0.9909,0.7647,High Influence,Tagged Variant,"Displays as: ""against952"""
across_7229,0.9029,0.3794,High Influence,Tagged Variant,"Displays as: ""across_7229"""
ahead48,0.6647,0.8044,High Recall,Tagged Variant,"Displays as: ""ahead48"""
box_3901,0.7908,0.6502,Peripheral,Tagged Variant,"Displays as: ""box_3901"""
ability_1633,0.8873,0.9259,High Influence,Tagged Variant,"Displays as: ""ability_1633"""
against_4731,0.6989,0.9439,High Recall,Tagged Variant,"Displays as: ""against_4731"""
block780,0.8562,0.3386,High Influence,Tagged Variant,"Displays as: ""block780"""
campaign989,0.8666,0.8744,High Influence,Tagged Variant,"Displays as: ""campaign989"""
another983,0.6651,0.3264,Peripheral,Tagged Variant,"Displays as: ""another983"""
both_4248,0.826,0.557,High Influence,Tagged Variant,"Displays as: ""both_4248"""
business_6764,0.9087,0.6796,High Influence,Tagged Variant,"Displays as: ""business_6764"""
bring_2623,0.7996,0.4037,Peripheral,Tagged Variant,"Displays as: ""bring_2623"""
build_2220,0.6048,0.8224,High Recall,Tagged Variant,"Displays as: ""build_2220"""
base_5845,0.6036,0.3058,Peripheral,Tagged Variant,"Displays as: ""base_5845"""
anything_9029,0.7428,0.418,Peripheral,Tagged Variant,"Displays as: ""anything_9029"""
binary_2596,0.9705,0.7066,High Influence,Tagged Variant,"Displays as: ""binary_2596"""
also775,0.6915,0.8001,High Recall,Tagged Variant,"Displays as: ""also775"""
already_6158,0.8537,0.9417,High Influence,Tagged Variant,"Displays as: ""already_6158"""
balance496,0.6888,0.7938,Peripheral,Tagged Variant,"Displays as: ""balance496"""
another923,0.7287,0.7702,Peripheral,Tagged Variant,"Displays as: ""another923"""
authority_9761,0.9392,0.576,High Influence,Tagged Variant,"Displays as: ""authority_9761"""
against_2535,0.8915,0.3009,High Influence,Tagged Variant,"Displays as: ""against_2535"""
address733,0.6382,0.3841,Peripheral,Tagged Variant,"Displays as: ""address733"""
call540,0.7715,0.6742,Peripheral,Tagged Variant,"Displays as: ""call540"""
area197,0.6117,0.7726,Peripheral,Tagged Variant,"Displays as: ""area197"""
again_1335,0.7924,0.5922,Peripheral,Tagged Variant,"Displays as: ""again_1335"""
about838,0.865,0.8115,High Influence,Tagged Variant,"Displays as: ""about838"""
access826,0.6474,0.6653,Peripheral,Tagged Variant,"Displays as: ""access826"""
capital_5819,0.7156,0.3519,Peripheral,Tagged Variant,"Displays as: ""capital_5819"""
bring_1151,0.7591,0.4344,Peripheral,Tagged Variant,"Displays as: ""bring_1151"""
between338,0.9678,0.888,Core Anchor,Tagged Variant,"Displays as: ""between338"""
can_2255,0.9973,0.8074,Core Anchor,Tagged Variant,"Displays as: ""can_2255"""
after_8087,0.618,0.9263,High Recall,Tagged Variant,"Displays as: ""after_8087"""
about_9441,0.9044,0.3823,High Influence,Tagged Variant,"Displays as: ""about_9441"""
best_4358,0.7487,0.9932,High Recall,Tagged Variant,"Displays as: ""best_4358"""
business_5106,0.757,0.4466,Peripheral,Tagged Variant,"Displays as: ""business_5106"""
boy_5504,0.9017,0.3082,High Influence,Tagged Variant,"Displays as: ""boy_5504"""
after_9198,0.9674,0.9982,Core Anchor,Tagged Variant,"Displays as: ""after_9198"""
accept_9969,0.9804,0.4968,High Influence,Tagged Variant,"Displays as: ""accept_9969"""
become_5950,0.8308,0.7676,High Influence,Tagged Variant,"Displays as: ""become_5950"""
book_1749,0.7428,0.4237,Peripheral,Tagged Variant,"Displays as: ""book_1749"""
care35,0.915,0.7062,High Influence,Tagged Variant,"Displays as: ""care35"""
background511,0.7004,0.9328,High Recall,Tagged Variant,"Displays as: ""background511"""
article_9339,0.8256,0.5241,High Influence,Tagged Variant,"Displays as: ""article_9339"""
action_5188,0.7434,0.7692,Peripheral,Tagged Variant,"Displays as: ""action_5188"""
binary_1719,0.8627,0.4315,High Influence,Tagged Variant,"Displays as: ""binary_1719"""
candidate_6584,0.6962,0.7374,Peripheral,Tagged Variant,"Displays as: ""candidate_6584"""
answer_9583,0.6766,0.5355,Peripheral,Tagged Variant,"Displays as: ""answer_9583"""
actually_4600,0.9673,0.4478,High Influence,Tagged Variant,"Displays as: ""actually_4600"""
assume_2416,0.6407,0.5192,Peripheral,Tagged Variant,"Displays as: ""assume_2416"""
against_4892,0.8024,0.4252,High Influence,Tagged Variant,"Displays as: ""against_4892"""
actually179,0.6883,0.9313,High Recall,Tagged Variant,"Displays as: ""actually179"""
aware460,0.6156,0.578,Peripheral,Tagged Variant,"Displays as: ""aware460"""
care235,0.6144,0.4717,Peripheral,Tagged Variant,"Displays as: ""care235"""
appear711,0.6701,0.6139,Peripheral,Tagged Variant,"Displays as: ""appear711"""
address_9206,0.9467,0.5244,High Influence,Tagged Variant,"Displays as: ""address_9206"""
area391,0.713,0.8211,High Recall,Tagged Variant,"Displays as: ""area391"""
beauty35,0.9802,0.9799,Core Anchor,Tagged Variant,"Displays as: ""beauty35"""
authority_7934,0.8326,0.6066,High Influence,Tagged Variant,"Displays as: ""authority_7934"""
bring_9039,0.7746,0.9027,High Recall,Tagged Variant,"Displays as: ""bring_9039"""
big_1937,0.832,0.6961,High Influence,Tagged Variant,"Displays as: ""big_1937"""
border458,0.8067,0.4101,High Influence,Tagged Variant,"Displays as: ""border458"""
animal_4573,0.9035,0.7834,High Influence,Tagged Variant,"Displays as: ""animal_4573"""
bad259,0.713,0.6594,Peripheral,Tagged Variant,"Displays as: ""bad259"""
case175,0.7412,0.7554,Peripheral,Tagged Variant,"Displays as: ""case175"""
build450,0.9576,0.9228,Core Anchor,Tagged Variant,"Displays as: ""build450"""
article784,0.9786,0.6083,High Influence,Tagged Variant,"Displays as: ""article784"""
awesome_6447,0.957,0.9308,Core Anchor,Tagged Variant,"Displays as: ""awesome_6447"""
base_6241,0.7678,0.8255,High Recall,Tagged Variant,"Displays as: ""base_6241"""
care603,0.9121,0.642,High Influence,Tagged Variant,"Displays as: ""care603"""
budget_4214,0.7905,0.7223,Peripheral,Tagged Variant,"Displays as: ""budget_4214"""
book403,0.799,0.5279,Peripheral,Tagged Variant,"Displays as: ""book403"""
border229,0.6819,0.9885,High Recall,Tagged Variant,"Displays as: ""border229"""
bit_3326,0.8365,0.7671,High Influence,Tagged Variant,"Displays as: ""bit_3326"""
almost_7704,0.6745,0.3307,Peripheral,Tagged Variant,"Displays as: ""almost_7704"""
access_7395,0.7326,0.5286,Peripheral,Tagged Variant,"Displays as: ""access_7395"""
bit_3725,0.942,0.7363,High Influence,Tagged Variant,"Displays as: ""bit_3725"""
above832,0.6828,0.3394,Peripheral,Tagged Variant,"Displays as: ""above832"""
active906,0.6285,0.3167,Peripheral,Tagged Variant,"Displays as: ""active906"""
ability183,0.6276,0.615,Peripheral,Tagged Variant,"Displays as: ""ability183"""
balance_7692,0.9763,0.5329,High Influence,Tagged Variant,"Displays as: ""balance_7692"""
black927,0.8028,0.6068,High Influence,Tagged Variant,"Displays as: ""black927"""
can904,0.7638,0.4839,Peripheral,Tagged Variant,"Displays as: ""can904"""
away_5877,0.9244,0.4153,High Influence,Tagged Variant,"Displays as: ""away_5877"""
become_1511,0.9343,0.7824,High Influence,Tagged Variant,"Displays as: ""become_1511"""
author_8172,0.7329,0.6602,Peripheral,Tagged Variant,"Displays as: ""author_8172"""
call_1130,0.8774,0.4401,High Influence,Tagged Variant,"Displays as: ""call_1130"""
attack798,0.9084,0.5237,High Influence,Tagged Variant,"Displays as: ""attack798"""
almost_1290,0.8619,0.7143,High Influence,Tagged Variant,"Displays as: ""almost_1290"""
career197,0.6606,0.3506,Peripheral,Tagged Variant,"Displays as: ""career197"""
camera_4025,0.9504,0.4032,High Influence,Tagged Variant,"Displays as: ""camera_4025"""
address_8630,0.8156,0.3513,High Influence,Tagged Variant,"Displays as: ""address_8630"""
about966,0.713,0.8686,High Recall,Tagged Variant,"Displays as: ""about966"""
beyond_4148,0.7701,0.8267,High Recall,Tagged Variant,"Displays as: ""beyond_4148"""
business542,0.615,0.8273,High Recall,Tagged Variant,"Displays as: ""business542"""
capacity_9550,0.6511,0.8014,High Recall,Tagged Variant,"Displays as: ""capacity_9550"""
bring_2987,0.9062,0.7686,High Influence,Tagged Variant,"Displays as: ""bring_2987"""
argue_3125,0.6,0.6339,Peripheral,Tagged Variant,"Displays as: ""argue_3125"""
attitude_1003,0.7666,0.7496,Peripheral,Tagged Variant,"Displays as: ""attitude_1003"""
around_8850,0.809,0.3269,High Influence,Tagged Variant,"Displays as: ""around_8850"""
because415,0.6219,0.735,Peripheral,Tagged Variant,"Displays as: ""because415"""
campaign383,0.9892,0.8445,Core Anchor,Tagged Variant,"Displays as: ""campaign383"""
approach360,0.6905,0.6503,Peripheral,Tagged Variant,"Displays as: ""approach360"""
add_6881,0.7217,0.5503,Peripheral,Tagged Variant,"Displays as: ""add_6881"""
arrive644,0.7216,0.4942,Peripheral,Tagged Variant,"Displays as: ""arrive644"""
away_8394,0.6922,0.75,Peripheral,Tagged Variant,"Displays as: ""away_8394"""
approach_7679,0.6006,0.785,Peripheral,Tagged Variant,"Displays as: ""approach_7679"""
across617,0.8917,0.9097,High Influence,Tagged Variant,"Displays as: ""across617"""
another553,0.9867,0.5396,High Influence,Tagged Variant,"Displays as: ""another553"""
again_6711,0.6897,0.8388,High Recall,Tagged Variant,"Displays as: ""again_6711"""
beauty_4130,0.8652,0.6929,High Influence,Tagged Variant,"Displays as: ""beauty_4130"""
aware930,0.8968,0.918,High Influence,Tagged Variant,"Displays as: ""aware930"""
capacity538,0.9394,0.6695,High Influence,Tagged Variant,"Displays as: ""capacity538"""
already_5571,0.7691,0.6623,Peripheral,Tagged Variant,"Displays as: ""already_5571"""
better926,0.7212,0.7045,Peripheral,Tagged Variant,"Displays as: ""better926"""
available804,0.7301,0.8245,High Recall,Tagged Variant,"Displays as: ""available804"""
author345,0.885,0.9753,High Influence,Tagged Variant,"Displays as: ""author345"""
bill_3517,0.9267,0.3515,High Influence,Tagged Variant,"Displays as: ""bill_3517"""
box181,0.6726,0.3374,Peripheral,Tagged Variant,"Displays as: ""box181"""
also_9601,0.7484,0.9563,High Recall,Tagged Variant,"Displays as: ""also_9601"""
beyond319,0.9608,0.6709,High Influence,Tagged Variant,"Displays as: ""beyond319"""
actual_5972,0.9227,0.7304,High Influence,Tagged Variant,"Displays as: ""actual_5972"""
candidate132,0.9939,0.6377,High Influence,Tagged Variant,"Displays as: ""candidate132"""
around_4179,0.9017,0.3656,High Influence,Tagged Variant,"Displays as: ""around_4179"""
burn939,0.7573,0.8377,High Recall,Tagged Variant,"Displays as: ""burn939"""
between_9797,0.8363,0.8231,High Influence,Tagged Variant,"Displays as: ""between_9797"""
attempt396,0.8644,0.5182,High Influence,Tagged Variant,"Displays as: ""attempt396"""
basis_7214,0.6314,0.5144,Peripheral,Tagged Variant,"Displays as: ""basis_7214"""
answer974,0.8178,0.8865,High Influence,Tagged Variant,"Displays as: ""answer974"""
approach850,0.8837,0.3507,High Influence,Tagged Variant,"Displays as: ""approach850"""
bad69,0.6669,0.9168,High Recall,Tagged Variant,"Displays as: ""bad69"""
behind411,0.9123,0.4797,High Influence,Tagged Variant,"Displays as: ""behind411"""
both_2682,0.8335,0.7151,High Influence,Tagged Variant,"Displays as: ""both_2682"""
ahead835,0.9809,0.9552,Core Anchor,Tagged Variant,"Displays as: ""ahead835"""
author_8581,0.617,0.7747,Peripheral,Tagged Variant,"Displays as: ""author_8581"""
animal_2340,0.7061,0.5901,Peripheral,Tagged Variant,"Displays as: ""animal_2340"""
answer126,0.8406,0.7827,High Influence,Tagged Variant,"Displays as: ""answer126"""
agent104,0.7186,0.5408,Peripheral,Tagged Variant,"Displays as: ""agent104"""
analysis_4866,0.8858,0.4941,High Influence,Tagged Variant,"Displays as: ""analysis_4866"""
area651,0.9036,0.9977,Core Anchor,Tagged Variant,"Displays as: ""area651"""
believe585,0.641,0.8256,High Recall,Tagged Variant,"Displays as: ""believe585"""
case_9987,0.8055,0.7513,High Influence,Tagged Variant,"Displays as: ""case_9987"""
brain_6821,0.8036,0.5487,High Influence,Tagged Variant,"Displays as: ""brain_6821"""
about368,0.7477,0.3344,Peripheral,Tagged Variant,"Displays as: ""about368"""
because_6505,0.9732,0.3217,High Influence,Tagged Variant,"Displays as: ""because_6505"""
bit477,0.931,0.6879,High Influence,Tagged Variant,"Displays as: ""bit477"""
capacity_4371,0.8789,0.8334,High Influence,Tagged Variant,"Displays as: ""capacity_4371"""
bad828,0.8857,0.6762,High Influence,Tagged Variant,"Displays as: ""bad828"""
appear_7140,0.7847,0.8885,High Recall,Tagged Variant,"Displays as: ""appear_7140"""
block_1066,0.9684,0.3234,High Influence,Tagged Variant,"Displays as: ""block_1066"""
agency290,0.8778,0.5567,High Influence,Tagged Variant,"Displays as: ""agency290"""
better940,0.8916,0.4659,High Influence,Tagged Variant,"Displays as: ""better940"""
assume241,0.9447,0.6131,High Influence,Tagged Variant,"Displays as: ""assume241"""
budget719,0.7096,0.3507,Peripheral,Tagged Variant,"Displays as: ""budget719"""
author_3494,0.9228,0.9679,Core Anchor,Tagged Variant,"Displays as: ""author_3494"""
admit_4929,0.6781,0.4563,Peripheral,Tagged Variant,"Displays as: ""admit_4929"""
add_1062,0.7381,0.9456,High Recall,Tagged Variant,"Displays as: ""add_1062"""
both310,0.7342,0.5981,Peripheral,Tagged Variant,"Displays as: ""both310"""
agency2,0.9914,0.9899,Core Anchor,Tagged Variant,"Displays as: ""agency2"""
basis_6559,0.9426,0.6878,High Influence,Tagged Variant,"Displays as: ""basis_6559"""
benefit_1834,0.8805,0.9516,High Influence,Tagged Variant,"Displays as: ""benefit_1834"""
begin28,0.8908,0.3037,High Influence,Tagged Variant,"Displays as: ""begin28"""
base821,0.8248,0.8238,High Influence,Tagged Variant,"Displays as: ""base821"""
another473,0.9788,0.9321,Core Anchor,Tagged Variant,"Displays as: ""another473"""
better540,0.7985,0.3978,Peripheral,Tagged Variant,"Displays as: ""better540"""
assume_9298,0.7522,0.3673,Peripheral,Tagged Variant,"Displays as: ""assume_9298"""
background154,0.6652,0.5972,Peripheral,Tagged Variant,"Displays as: ""background154"""
beauty_9116,0.9145,0.9536,Core Anchor,Tagged Variant,"Displays as: ""beauty_9116"""
aware_5390,0.8938,0.6797,High Influence,Tagged Variant,"Displays as: ""aware_5390"""
better_3002,0.7537,0.6692,Peripheral,Tagged Variant,"Displays as: ""better_3002"""
accident_1547,0.6101,0.3988,Peripheral,Tagged Variant,"Displays as: ""accident_1547"""
another203,0.9356,0.3006,High Influence,Tagged Variant,"Displays as: ""another203"""
basis945,0.6046,0.8671,High Recall,Tagged Variant,"Displays as: ""basis945"""
basic_2229,0.8815,0.3613,High Influence,Tagged Variant,"Displays as: ""basic_2229"""
answer_3517,0.9881,0.7437,High Influence,Tagged Variant,"Displays as: ""answer_3517"""
balance137,0.7751,0.9402,High Recall,Tagged Variant,"Displays as: ""balance137"""
agree247,0.694,0.4461,Peripheral,Tagged Variant,"Displays as: ""agree247"""
again_2466,0.8819,0.7657,High Influence,Tagged Variant,"Displays as: ""again_2466"""
cancel_4934,0.9269,0.3551,High Influence,Tagged Variant,"Displays as: ""cancel_4934"""
break273,0.8186,0.7226,High Influence,Tagged Variant,"Displays as: ""break273"""
attention_7188,0.9868,0.4148,High Influence,Tagged Variant,"Displays as: ""attention_7188"""
anger_3691,0.6207,0.8152,High Recall,Tagged Variant,"Displays as: ""anger_3691"""
amazing552,0.8019,0.5109,High Influence,Tagged Variant,"Displays as: ""amazing552"""
almost_4380,0.8874,0.6244,High Influence,Tagged Variant,"Displays as: ""almost_4380"""
black_5486,0.9451,0.7196,High Influence,Tagged Variant,"Displays as: ""black_5486"""
area984,0.6717,0.4199,Peripheral,Tagged Variant,"Displays as: ""area984"""
can_5372,0.92,0.8191,Core Anchor,Tagged Variant,"Displays as: ""can_5372"""
argue233,0.8211,0.5118,High Influence,Tagged Variant,"Displays as: ""argue233"""
better_7654,0.7586,0.7637,Peripheral,Tagged Variant,"Displays as: ""better_7654"""
attitude_7409,0.6527,0.4108,Peripheral,Tagged Variant,"Displays as: ""attitude_7409"""
between977,0.9461,0.7817,High Influence,Tagged Variant,"Displays as: ""between977"""
area_9607,0.6629,0.3897,Peripheral,Tagged Variant,"Displays as: ""area_9607"""
around113,0.7239,0.5977,Peripheral,Tagged Variant,"Displays as: ""around113"""
active_5237,0.716,0.473,Peripheral,Tagged Variant,"Displays as: ""active_5237"""
blue_6383,0.9486,0.8239,Core Anchor,Tagged Variant,"Displays as: ""blue_6383"""
behind707,0.8691,0.4834,High Influence,Tagged Variant,"Displays as: ""behind707"""
activity462,0.9187,0.9172,Core Anchor,Tagged Variant,"Displays as: ""activity462"""
background292,0.7002,0.9243,High Recall,Tagged Variant,"Displays as: ""background292"""
admin_8288,0.8499,0.4375,High Influence,Tagged Variant,"Displays as: ""admin_8288"""
before_1605,0.8287,0.7297,High Influence,Tagged Variant,"Displays as: ""before_1605"""
although_2943,0.9331,0.3614,High Influence,Tagged Variant,"Displays as: ""although_2943"""
appear957,0.9624,0.5741,High Influence,Tagged Variant,"Displays as: ""appear957"""
actual704,0.6049,0.7993,Peripheral,Tagged Variant,"Displays as: ""actual704"""
always_7240,0.8696,0.7616,High Influence,Tagged Variant,"Displays as: ""always_7240"""
analysis262,0.6207,0.7373,Peripheral,Tagged Variant,"Displays as: ""analysis262"""
anger_6935,0.8195,0.4978,High Influence,Tagged Variant,"Displays as: ""anger_6935"""
black_2997,0.7151,0.5646,Peripheral,Tagged Variant,"Displays as: ""black_2997"""
always722,0.7227,0.3721,Peripheral,Tagged Variant,"Displays as: ""always722"""
access974,0.7412,0.8033,High Recall,Tagged Variant,"Displays as: ""access974"""
carry816,0.8485,0.6527,High Influence,Tagged Variant,"Displays as: ""carry816"""
blue547,0.7336,0.7961,Peripheral,Tagged Variant,"Displays as: ""blue547"""
burn_3273,0.8931,0.4743,High Influence,Tagged Variant,"Displays as: ""burn_3273"""
available990,0.7618,0.5271,Peripheral,Tagged Variant,"Displays as: ""available990"""
bad286,0.6273,0.534,Peripheral,Tagged Variant,"Displays as: ""bad286"""
build680,0.9135,0.318,High Influence,Tagged Variant,"Displays as: ""build680"""
basis200,0.7143,0.5387,Peripheral,Tagged Variant,"Displays as: ""basis200"""
background605,0.7731,0.8623,High Recall,Tagged Variant,"Displays as: ""background605"""
address567,0.8742,0.9281,High Influence,Tagged Variant,"Displays as: ""address567"""
call_2333,0.733,0.6628,Peripheral,Tagged Variant,"Displays as: ""call_2333"""
already_6118,0.6226,0.6189,Peripheral,Tagged Variant,"Displays as: ""already_6118"""
art_4878,0.7496,0.3216,Peripheral,Tagged Variant,"Displays as: ""art_4878"""
better77,0.9778,0.9154,Core Anchor,Tagged Variant,"Displays as: ""better77"""
accident772,0.8567,0.3091,High Influence,Tagged Variant,"Displays as: ""accident772"""
brain_6101,0.8686,0.9613,High Influence,Tagged Variant,"Displays as: ""brain_6101"""
also285,0.8529,0.6425,High Influence,Tagged Variant,"Displays as: ""also285"""
address408,0.6796,0.5394,Peripheral,Tagged Variant,"Displays as: ""address408"""
and142,0.7673,0.947,High Recall,Tagged Variant,"Displays as: ""and142"""
black_9321,0.9004,0.3171,High Influence,Tagged Variant,"Displays as: ""black_9321"""
basic990,0.6405,0.707,Peripheral,Tagged Variant,"Displays as: ""basic990"""
bring_2560,0.7111,0.6843,Peripheral,Tagged Variant,"Displays as: ""bring_2560"""
appear_7522,0.7105,0.4535,Peripheral,Tagged Variant,"Displays as: ""appear_7522"""
author833,0.7728,0.6002,Peripheral,Tagged Variant,"Displays as: ""author833"""
again_4161,0.9921,0.7566,High Influence,Tagged Variant,"Displays as: ""again_4161"""
article832,0.627,0.809,High Recall,Tagged Variant,"Displays as: ""article832"""
better_2634,0.8075,0.3005,High Influence,Tagged Variant,"Displays as: ""better_2634"""
article77,0.6717,0.9558,High Recall,Tagged Variant,"Displays as: ""article77"""
ahead_7794,0.9883,0.4152,High Influence,Tagged Variant,"Displays as: ""ahead_7794"""
agent_1600,0.6453,0.4635,Peripheral,Tagged Variant,"Displays as: ""agent_1600"""
affect_2928,0.7614,0.4844,Peripheral,Tagged Variant,"Displays as: ""affect_2928"""
argue_5311,0.8952,0.3265,High Influence,Tagged Variant,"Displays as: ""argue_5311"""
allow_1278,0.8818,0.3861,High Influence,Tagged Variant,"Displays as: ""allow_1278"""
box_6179,0.7691,0.9904,High Recall,Tagged Variant,"Displays as: ""box_6179"""
boy236,0.7386,0.5207,Peripheral,Tagged Variant,"Displays as: ""boy236"""
begin209,0.759,0.3807,Peripheral,Tagged Variant,"Displays as: ""begin209"""
add_5164,0.7057,0.3749,Peripheral,Tagged Variant,"Displays as: ""add_5164"""
box603,0.6821,0.8036,High Recall,Tagged Variant,"Displays as: ""box603"""
black_1035,0.7932,0.8982,High Recall,Tagged Variant,"Displays as: ""black_1035"""
career740,0.7074,0.4799,Peripheral,Tagged Variant,"Displays as: ""career740"""
accident_1995,0.715,0.3146,Peripheral,Tagged Variant,"Displays as: ""accident_1995"""
avoid_6173,0.8627,0.4562,High Influence,Tagged Variant,"Displays as: ""avoid_6173"""
action192,0.9874,0.3396,High Influence,Tagged Variant,"Displays as: ""action192"""
above609,0.8415,0.3724,High Influence,Tagged Variant,"Displays as: ""above609"""
article599,0.6308,0.6021,Peripheral,Tagged Variant,"Displays as: ""article599"""
before400,0.6302,0.4609,Peripheral,Tagged Variant,"Displays as: ""before400"""
above749,0.9806,0.6612,High Influence,Tagged Variant,"Displays as: ""above749"""
attack881,0.7189,0.4774,Peripheral,Tagged Variant,"Displays as: ""attack881"""
arrive_5372,0.6368,0.9584,High Recall,Tagged Variant,"Displays as: ""arrive_5372"""
bill206,0.8396,0.9342,High Influence,Tagged Variant,"Displays as: ""bill206"""
address137,0.8495,0.6968,High Influence,Tagged Variant,"Displays as: ""address137"""
ability912,0.8594,0.5481,High Influence,Tagged Variant,"Displays as: ""ability912"""
amazing747,0.707,0.5668,Peripheral,Tagged Variant,"Displays as: ""amazing747"""
account_1770,0.606,0.5883,Peripheral,Tagged Variant,"Displays as: ""account_1770"""
again_3933,0.986,0.8093,Core Anchor,Tagged Variant,"Displays as: ""again_3933"""
agency_9136,0.7004,0.6161,Peripheral,Tagged Variant,"Displays as: ""agency_9136"""
border_2947,0.8704,0.8997,High Influence,Tagged Variant,"Displays as: ""border_2947"""
around_3777,0.8827,0.9609,High Influence,Tagged Variant,"Displays as: ""around_3777"""
amazing326,0.844,0.5352,High Influence,Tagged Variant,"Displays as: ""amazing326"""
balance_4527,0.7252,0.6925,Peripheral,Tagged Variant,"Displays as: ""balance_4527"""
amount_6857,0.7084,0.3665,Peripheral,Tagged Variant,"Displays as: ""amount_6857"""
basic819,0.8391,0.4403,High Influence,Tagged Variant,"Displays as: ""basic819"""
bad902,0.9464,0.5894,High Influence,Tagged Variant,"Displays as: ""bad902"""
against219,0.9787,0.4443,High Influence,Tagged Variant,"Displays as: ""against219"""
around_1472,0.6424,0.9136,High Recall,Tagged Variant,"Displays as: ""around_1472"""
car_3436,0.6619,0.4108,Peripheral,Tagged Variant,"Displays as: ""car_3436"""
border_4703,0.9779,0.619,High Influence,Tagged Variant,"Displays as: ""border_4703"""
cancel265,0.8946,0.724,High Influence,Tagged Variant,"Displays as: ""cancel265"""
box305,0.9532,0.7843,High Influence,Tagged Variant,"Displays as: ""box305"""
big_4085,0.6811,0.5681,Peripheral,Tagged Variant,"Displays as: ""big_4085"""
